Name of the Political Party,"Date of Encashment",Sum,Upcoming Election
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,12-Apr-19,60000000,"Odisha, Lok Sabha"
BHARAT RASHTRA SAMITHI,12-Apr-19,225000000,"Odisha, Lok Sabha"
BHARTIYA JANTA PARTY,12-Apr-19,2463000000,"Odisha, Lok Sabha"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",12-Apr-19,101000000,"Odisha, Lok Sabha"
SHIVSENA (POLITICAL PARTY),12-Apr-19,37000000,"Odisha, Lok Sabha"
TELUGU DESAM PARTY,12-Apr-19,3000000,"Odisha, Lok Sabha"
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,12-Apr-19,62500000,"Odisha, Lok Sabha"
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,15-Apr-19,500000,"Odisha, Lok Sabha"
BHARTIYA JANTA PARTY,15-Apr-19,500500000,"Odisha, Lok Sabha"
DMK PARTY IN PARLIAMENT,15-Apr-19,70000000,"Odisha, Lok Sabha"
JANATA DAL ( SECULAR ),15-Apr-19,25000000,"Odisha, Lok Sabha"
NATIONALIST CONGRESS PARTY PARLIAMENT OF,15-Apr-19,15000000,"Odisha, Lok Sabha"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",15-Apr-19,354500000,"Odisha, Lok Sabha"
SHIVSENA (POLITICAL PARTY),15-Apr-19,20000000,"Odisha, Lok Sabha"
TELUGU DESAM PARTY,15-Apr-19,50000000,"Odisha, Lok Sabha"
ALL INDIA TRINAMOOL CONGRESS,16-Apr-19,170100000,"Odisha, Lok Sabha"
BHARTIYA JANTA PARTY,16-Apr-19,1162000000,"Odisha, Lok Sabha"
BIHAR PRADESH JANTA DAL(UNITED),16-Apr-19,20000000,"Odisha, Lok Sabha"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",16-Apr-19,179200000,"Odisha, Lok Sabha"
RASTRIYA JANTA DAL,16-Apr-19,10000000,"Odisha, Lok Sabha"
AAM AADMI PARTY,18-Apr-19,2000000,"Odisha, Lok Sabha"
ADYAKSHA SAMAJVADI PARTY,18-Apr-19,8400000,"Odisha, Lok Sabha"
BHARAT RASHTRA SAMITHI,18-Apr-19,10000000,"Odisha, Lok Sabha"
