Name of the Political Party,"Date of
Encashment",Sum - Denomination
AAM AADMI PARTY,18/Apr/2019,2000000
AAM AADMI PARTY,15/May/2019,10000000
AAM AADMI PARTY,21/May/2019,10000000
AAM AADMI PARTY,24/Jan/2020,3000000
AAM AADMI PARTY,06/Nov/2020,30000000
AAM AADMI PARTY,13/Jan/2021,12500000
AAM AADMI PARTY,13/Apr/2021,2000000
AAM AADMI PARTY,15/Apr/2021,1500000
AAM AADMI PARTY,19/Jul/2021,2500000
AAM AADMI PARTY,10/Jan/2022,20000000
AAM AADMI PARTY,12/Jan/2022,2500000
AAM AADMI PARTY,14/Jan/2022,5000000
AAM AADMI PARTY,18/Jan/2022,4500000
AAM AADMI PARTY,21/Jan/2022,2000000
AAM AADMI PARTY,10/Oct/2022,20000000
AAM AADMI PARTY,12/Oct/2022,20000000
AAM AADMI PARTY,14/Oct/2022,76000000
AAM AADMI PARTY,15/Oct/2022,69500000
AAM AADMI PARTY,20/Oct/2022,64000000
AAM AADMI PARTY,21/Oct/2022,5000000
AAM AADMI PARTY,14/Nov/2022,50000000
AAM AADMI PARTY,19/Nov/2022,20000000
AAM AADMI PARTY,21/Nov/2022,10000000
AAM AADMI PARTY,09/Dec/2022,10000000
AAM AADMI PARTY,14/Dec/2022,20000000
AAM AADMI PARTY,15/Dec/2022,20000000
AAM AADMI PARTY,16/Dec/2022,31000000
AAM AADMI PARTY,17/Dec/2022,30000000
AAM AADMI PARTY,11/Jul/2023,50000000
AAM AADMI PARTY,15/Jul/2023,50000000
AAM AADMI PARTY,26/Jul/2023,1500000
ADYAKSHA SAMAJVADI PARTY,18/Apr/2019,8400000
ADYAKSHA SAMAJVADI PARTY,10/May/2019,100000000
ADYAKSHA SAMAJVADI PARTY,10/Jan/2022,2100000
ADYAKSHA SAMAJVADI PARTY,13/Jan/2022,30000000
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,12/Apr/2019,60000000
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,15/Apr/2019,500000
ALL INDIA TRINAMOOL CONGRESS,16/Apr/2019,170100000
ALL INDIA TRINAMOOL CONGRESS,22/Apr/2019,7500000
ALL INDIA TRINAMOOL CONGRESS,08/May/2019,50000000
ALL INDIA TRINAMOOL CONGRESS,14/May/2019,279546000
ALL INDIA TRINAMOOL CONGRESS,22/May/2019,10000000
ALL INDIA TRINAMOOL CONGRESS,15/Jul/2019,153800000
ALL INDIA TRINAMOOL CONGRESS,03/Oct/2019,200000000
ALL INDIA TRINAMOOL CONGRESS,27/Jan/2020,123700000
ALL INDIA TRINAMOOL CONGRESS,22/Oct/2020,150000000
ALL INDIA TRINAMOOL CONGRESS,23/Oct/2020,4000000
ALL INDIA TRINAMOOL CONGRESS,31/Oct/2020,10000000
ALL INDIA TRINAMOOL CONGRESS,07/Nov/2020,10000000
ALL INDIA TRINAMOOL CONGRESS,07/Jan/2021,250000000
ALL INDIA TRINAMOOL CONGRESS,13/Jan/2021,10000000
ALL INDIA TRINAMOOL CONGRESS,12/Apr/2021,502400000
ALL INDIA TRINAMOOL CONGRESS,13/Apr/2021,50000000
ALL INDIA TRINAMOOL CONGRESS,19/Apr/2021,2000000
ALL INDIA TRINAMOOL CONGRESS,09/Jul/2021,26500000
ALL INDIA TRINAMOOL CONGRESS,12/Jul/2021,610000000
ALL INDIA TRINAMOOL CONGRESS,13/Jul/2021,230000000
ALL INDIA TRINAMOOL CONGRESS,14/Jul/2021,95100000
ALL INDIA TRINAMOOL CONGRESS,15/Jul/2021,64300000
ALL INDIA TRINAMOOL CONGRESS,16/Jul/2021,39730000
ALL INDIA TRINAMOOL CONGRESS,23/Jul/2021,10000000
ALL INDIA TRINAMOOL CONGRESS,08/Oct/2021,355000000
ALL INDIA TRINAMOOL CONGRESS,11/Oct/2021,747500000
ALL INDIA TRINAMOOL CONGRESS,16/Oct/2021,251900000
ALL INDIA TRINAMOOL CONGRESS,18/Oct/2021,64000000
ALL INDIA TRINAMOOL CONGRESS,19/Oct/2021,1000000
ALL INDIA TRINAMOOL CONGRESS,10/Jan/2022,690000000
ALL INDIA TRINAMOOL CONGRESS,11/Jan/2022,290000000
ALL INDIA TRINAMOOL CONGRESS,13/Jan/2022,600000000
ALL INDIA TRINAMOOL CONGRESS,14/Jan/2022,510000000
ALL INDIA TRINAMOOL CONGRESS,15/Jan/2022,60000000
ALL INDIA TRINAMOOL CONGRESS,17/Jan/2022,56000000
ALL INDIA TRINAMOOL CONGRESS,21/Jan/2022,4000000
ALL INDIA TRINAMOOL CONGRESS,24/Jan/2022,32000000
ALL INDIA TRINAMOOL CONGRESS,08/Apr/2022,150000000
ALL INDIA TRINAMOOL CONGRESS,19/Apr/2022,30000000
ALL INDIA TRINAMOOL CONGRESS,11/Jul/2022,190000000
ALL INDIA TRINAMOOL CONGRESS,12/Jul/2022,445000000
ALL INDIA TRINAMOOL CONGRESS,14/Jul/2022,30000000
ALL INDIA TRINAMOOL CONGRESS,11/Oct/2022,100000000
ALL INDIA TRINAMOOL CONGRESS,12/Oct/2022,500000000
ALL INDIA TRINAMOOL CONGRESS,13/Oct/2022,300000000
ALL INDIA TRINAMOOL CONGRESS,14/Oct/2022,200000000
ALL INDIA TRINAMOOL CONGRESS,15/Oct/2022,331000000
ALL INDIA TRINAMOOL CONGRESS,14/Dec/2022,150000000
ALL INDIA TRINAMOOL CONGRESS,15/Dec/2022,10000000
ALL INDIA TRINAMOOL CONGRESS,19/Dec/2022,10000000
ALL INDIA TRINAMOOL CONGRESS,27/Jan/2023,200000000
