Name of the Political Party,Date of  Encashment,Sum,Upcoming Election,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Phase
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,2019-04-12,60000000,Lok Sabha 2019,,,,,
BHARAT RASHTRA SAMITHI,2019-04-12,225000000,Lok Sabha 2019,,,,,
BHARTIYA JANTA PARTY,2019-04-12,2463000000,Lok Sabha 2019,,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-04-12,101000000,Lok Sabha 2019,,,,,
SHIVSENA (POLITICAL PARTY),2019-04-12,37000000,Lok Sabha 2019,,,,,
TELUGU DESAM PARTY,2019-04-12,3000000,Lok Sabha 2019,,,,,
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2019-04-12,62500000,Lok Sabha 2019,,,,,
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,2019-04-15,500000,Lok Sabha 2019,,,,,9.0
BHARTIYA JANTA PARTY,2019-04-15,500500000,Lok Sabha 2019,,,,,9.0
DMK PARTY IN PARLIAMENT,2019-04-15,70000000,Lok Sabha 2019,,,,,9.0
JANATA DAL ( SECULAR ),2019-04-15,25000000,Lok Sabha 2019,,,,,9.0
NATIONALIST CONGRESS PARTY PARLIAMENT OF,2019-04-15,15000000,Lok Sabha 2019,,,,,9.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-04-15,354500000,Lok Sabha 2019,,,,,9.0
SHIVSENA (POLITICAL PARTY),2019-04-15,20000000,Lok Sabha 2019,,,,,9.0
TELUGU DESAM PARTY,2019-04-15,50000000,Lok Sabha 2019,,,,,9.0
ALL INDIA TRINAMOOL CONGRESS,2019-04-16,170100000,Lok Sabha 2019,,,,,9.0
BHARTIYA JANTA PARTY,2019-04-16,1162000000,Lok Sabha 2019,,,,,9.0
BIHAR PRADESH JANTA DAL(UNITED),2019-04-16,20000000,Lok Sabha 2019,,,,,9.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-04-16,179200000,Lok Sabha 2019,,,,,9.0
RASTRIYA JANTA DAL,2019-04-16,10000000,Lok Sabha 2019,,,,,9.0
AAM AADMI PARTY,2019-04-18,2000000,Lok Sabha 2019,,,,,9.0
ADYAKSHA SAMAJVADI PARTY,2019-04-18,8400000,Lok Sabha 2019,,,,,9.0
BHARAT RASHTRA SAMITHI,2019-04-18,10000000,Lok Sabha 2019,,,,,9.0
BHARTIYA JANTA PARTY,2019-04-18,2275800000,Lok Sabha 2019,,,,,9.0
NATIONALIST CONGRESS PARTY PARLIAMENT OF,2019-04-18,10000000,Lok Sabha 2019,,,,,9.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-04-18,128700000,Lok Sabha 2019,,,,,9.0
SHIVSENA (POLITICAL PARTY),2019-04-18,12000000,Lok Sabha 2019,,,,,9.0
TELUGU DESAM PARTY,2019-04-18,20000000,Lok Sabha 2019,,,,,9.0
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2019-04-18,20000000,Lok Sabha 2019,,,,,9.0
BHARTIYA JANTA PARTY,2019-04-20,2107500000,Lok Sabha 2019,,,,,9.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-04-20,142210000,Lok Sabha 2019,,,,,9.0
SHIROMANI AKALI DAL,2019-04-20,60070000,Lok Sabha 2019,,,,,9.0
SHIVSENA (POLITICAL PARTY),2019-04-20,50000000,Lok Sabha 2019,,,,,9.0
ALL INDIA TRINAMOOL CONGRESS,2019-04-22,7500000,Lok Sabha 2019,,,,,9.0
BHARAT RASHTRA SAMITHI,2019-04-22,500000,Lok Sabha 2019,,,,,9.0
BHARTIYA JANTA PARTY,2019-04-22,441801000,Lok Sabha 2019,,,,,9.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-04-22,110000000,Lok Sabha 2019,,,,,9.0
SHIROMANI AKALI DAL,2019-04-22,2530000,Lok Sabha 2019,,,,,9.0
SHIVSENA (POLITICAL PARTY),2019-04-22,2500000,Lok Sabha 2019,,,,,9.0
BHARTIYA JANTA PARTY,2019-04-23,1308500000,Lok Sabha 2019,,,,,9.0
DMK PARTY IN PARLIAMENT,2019-04-23,20000000,Lok Sabha 2019,,,,,9.0
JHARKHAND MUKTI MORCHA,2019-04-23,10000000,Lok Sabha 2019,,,,,9.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-04-23,75000000,Lok Sabha 2019,,,,,9.0
SHIVSENA (POLITICAL PARTY),2019-04-23,20000000,Lok Sabha 2019,,,,,9.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-04-24,2000000,Lok Sabha 2019,,,,,9.0
RASTRIYA JANTA DAL,2019-04-24,15000000,Lok Sabha 2019,,,,,9.0
BHARTIYA JANTA PARTY,2019-04-25,131000000,Lok Sabha 2019,,,,,9.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-04-25,20000000,Lok Sabha 2019,,,,,9.0
SHIVSENA (POLITICAL PARTY),2019-04-25,1000000,Lok Sabha 2019,,,,,9.0
BIHAR PRADESH JANTA DAL(UNITED),2019-04-26,10000000,Lok Sabha 2019,,,,,9.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-04-26,73000000,Lok Sabha 2019,,,,,9.0
BHARTIYA JANTA PARTY,2019-04-29,178500000,Lok Sabha 2019,,,,,9.0
JAMMU AND KASHMIR NATIONAL CONFERENCE,2019-04-29,5000000,Lok Sabha 2019,,,,,9.0
SHIVSENA (POLITICAL PARTY),2019-04-30,3800000,Lok Sabha 2019,,,,,9.0
BHARTIYA JANTA PARTY,2019-05-02,20100000,Lok Sabha 2019,,,,,9.0
BHARTIYA JANTA PARTY,2019-05-03,50000000,Lok Sabha 2019,,,,,9.0
